Sender,Recipient,Sender's Location,Recipient's Location,sender.group,SenderLat,SenderLong,RecLat,RecLong,Date,WWA ID,Link
"Whitman, Walt",Harper's Magazine,"Brooklyn, NY","New York, NY",1,40.678145,-73.944467,40.680048,-73.94318,1860-01-07,,
"Whitman, Walt",New York Sunday Courier,"Brooklyn, NY","New York, NY",1,40.678145,-73.944467,40.680048,-73.94318,1860-01-16,loc.00755.xml,http://whitman-dev.unl.edu/biography/correspondence/cw/tei/loc.00755.html
"Whitman, Walt","Lowell, James Russell","Brooklyn, NY","Boston, MA",1,40.678145,-73.944467,42.358761,-71.063832,1860-01-20,uva.00342.xml,http://whitman-dev.unl.edu/biography/correspondence/cw/tei/uva.00342.html
Thayer & Eldridge,"Whitman, Walt","Boston, MA","Brooklyn, NY",5,42.358761,-71.063832,40.678145,-73.944467,1860-02-10,loc.00560.xml,http://whitman-dev.unl.edu/biography/correspondence/cw/tei/loc.00560.html
Thayer & Eldridge,"Whitman, Walt","Boston, MA","Brooklyn, NY",5,42.358761,-71.063832,40.678145,-73.944467,1860-02-27,loc.00561.xml,http://whitman-dev.unl.edu/biography/correspondence/cw/tei/loc.00561.html
Thayer & Eldridge,"Whitman, Walt","Boston, MA","Brooklyn, NY",5,42.358761,-71.063832,40.678145,-73.944467,1860-03-02,loc.00562.xml,http://whitman-dev.unl.edu/biography/correspondence/cw/tei/loc.00562.html
"Whitman, Walt",Editor of the Atlantic Monthly,"Brooklyn, NY","Boston, MA",1,40.678145,-73.944467,42.358761,-71.063832,1860-03-02,prc.00003.xml,http://whitman-dev.unl.edu/biography/correspondence/cw/tei/prc.00003.html
Ticknor & Fields,"Whitman, Walt","Boston, MA","Brooklyn, NY",5,42.358761,-71.063832,40.678145,-73.944467,1860-03-06,med.00319.xml,http://whitman-dev.unl.edu/biography/correspondence/cw/tei/med.00319.html
Thayer & Eldridge,"Whitman, Walt","Boston, MA","Brooklyn, NY",5,42.358761,-71.063832,40.678145,-73.944467,1860-03-07,loc.00563.xml,http://whitman-dev.unl.edu/biography/correspondence/cw/tei/loc.00563.html
Thayer & Eldridge [DUPLICATE],"Whitman, Walt","Boston, MA","Brooklyn, NY",5,42.358761,-71.063832,40.678145,-73.944467,1860-03-07,loc.01002.xml,http://whitman-dev.unl.edu/biography/correspondence/cw/tei/loc.01002.html
Thayer & Eldridge,"Whitman, Walt","Boston, MA","Brooklyn, NY",5,42.358761,-71.063832,40.678145,-73.944467,1860-03-09,loc.00564.xml,http://whitman-dev.unl.edu/biography/correspondence/cw/tei/loc.00564.html
"Vaughan, Fred","Whitman, Walt","New York, NY","Boston, MA",3,40.680048,-73.94318,42.358761,-71.063832,1860-03-19,loc.00565.xml,http://whitman-dev.unl.edu/biography/correspondence/cw/tei/loc.00565.html
"Hine, Charles","Whitman, Walt","New York, NY","Boston, MA",3,40.680048,-73.94318,42.358761,-71.063832,1860-03-21,loc.00566.xml,http://whitman-dev.unl.edu/biography/correspondence/cw/tei/loc.00566.html
"Vaughan, Fred","Whitman, Walt","New York, NY","Boston, MA",3,40.680048,-73.94318,42.358761,-71.063832,1860-03-21,loc.00567.xml,http://whitman-dev.unl.edu/biography/correspondence/cw/tei/loc.00567.html
"Clapp Jr., Henry","Whitman, Walt","New York, NY","Boston, MA",5,40.680048,-73.94318,42.358761,-71.063832,1860-03-27,loc.00568.xml,http://whitman-dev.unl.edu/biography/correspondence/cw/tei/loc.00568.html
"Vaughan, Fred","Whitman, Walt","New York, NY","Boston, MA",3,40.680048,-73.94318,42.358761,-71.063832,1860-03-27,loc.00569.xml,http://whitman-dev.unl.edu/biography/correspondence/cw/tei/loc.00569.html
"Whitman, Walt","Price, Abby H.","Boston, MA","New York, NY",1,42.358761,-71.063832,40.680048,-73.94318,1860-03-29,"pml.00011
",http://whitman-dev.unl.edu/biography/correspondence/cw/tei/pml.00011.html
"Whitman, Walt","Whitman, Thomas Jefferson","Boston, MA","Brooklyn, NY",1,42.358761,-71.063832,40.678145,-73.944467,1860-04-01,wwh.00002.xml,http://whitman-dev.unl.edu/biography/correspondence/cw/tei/wwh.00002.html
"Whitman, Thomas Jefferson","Whitman, Walt","Brooklyn, NY","Boston, MA",2,40.678145,-73.944467,42.358761,-71.063832,1860-04-03,loc.00392.xml,http://whitman-dev.unl.edu/biography/correspondence/cw/tei/loc.00392.html
"Whitman, Louisa Van Velsor","Whitman, Walt","Brooklyn, NY","Boston, MA",2,40.678145,-73.944467,42.358761,-71.063832,1860-04-04,duk.00422,
"Sammis, O. K.","Whitman, Walt","Brooklyn, NY","Boston, MA",3,40.678145,-73.944467,42.358761,-71.063832,1860-04-06,loc.00863.xml,http://whitman-dev.unl.edu/biography/correspondence/cw/tei/loc.00863.html
"Vaughan, Fred","Whitman, Walt","New York, NY","Boston, MA",3,40.680048,-73.94318,42.358761,-71.063832,1860-04-09,loc.00570.xml,http://whitman-dev.unl.edu/biography/correspondence/cw/tei/loc.00570.html
"Whitman, Thomas Jefferson","Whitman, Walt","Brooklyn, NY","Boston, MA",2,40.678145,-73.944467,42.358761,-71.063832,1860-04-16,loc.00393.xml,http://whitman-dev.unl.edu/biography/correspondence/cw/tei/loc.00393.html
"Baker, Frederick","Whitman, Walt","New York, NY","Boston, MA",3,40.680048,-73.94318,42.358761,-71.063832,1860-04-23,loc.00848.xml,http://whitman-dev.unl.edu/biography/correspondence/cw/tei/loc.00848.html
"Whitman, Walt","Baker, Frederick","Boston, MA","New York, NY",1,42.358761,-71.063832,40.680048,-73.94318,1860-04-24,loc.00756.xml,http://whitman-dev.unl.edu/biography/correspondence/cw/tei/loc.00756.html
"Vaughan, Fred","Whitman, Walt","New York, NY","Boston, MA",3,40.680048,-73.94318,42.358761,-71.063832,1860-04-30,loc.00571.xml,http://whitman-dev.unl.edu/biography/correspondence/cw/tei/loc.00571.html
"Whitman, Walt",Thayer & Eldridge,"Brooklyn, NY","Boston, MA",1,40.678145,-73.944467,42.358761,-71.063832,1860-05-01,loc.00757.xml,http://whitman-dev.unl.edu/biography/correspondence/cw/tei/loc.00757.html
"Whitman, Walt","Whitman, Thomas Jefferson","Boston, MA","Brooklyn, NY",1,42.358761,-71.063832,40.678145,-73.944467,1860-05-10,wwh.00003.xml,http://whitman-dev.unl.edu/biography/correspondence/cw/tei/wwh.00003.html
"Clapp, Jr., Henry","Whitman, Walt","New York, NY","Boston, MA",5,40.680048,-73.94318,42.358761,-71.063832,1860-05-12,med.00236.xml,http://whitman-dev.unl.edu/biography/correspondence/cw/tei/med.00326.html
"Clapp Jr., Henry","Whitman, Walt","New York, NY","Boston, MA",5,40.680048,-73.94318,42.358761,-71.063832,1860-05-14,med.00331.xml,http://whitman-dev.unl.edu/biography/correspondence/cw/tei/med.00331.html
"Vaughan, Fred","Whitman, Walt","New York, NY","Boston, MA",3,40.680048,-73.94318,42.358761,-71.063832,1860-05-17,loc.00572.xml,http://whitman-dev.unl.edu/biography/correspondence/cw/tei/loc.00572.html
"Heyde, Charles L.","Whitman, Walt","Burlington, VT","Boston, MA",3,44.475929,-73.212229,42.358761,-71.063832,1860-05-18,duk.00384.xml,http://whitman-dev.unl.edu/biography/correspondence/cw/tei/duk.00384.html
"Vaughan, Fred","Whitman, Walt","New York, NY","Boston, MA",3,42.358761,-71.063832,42.358761,-71.063832,1860-05-21,loc.00573.xml,http://whitman-dev.unl.edu/biography/correspondence/cw/tei/loc.00573.html
Thayer & Eldridge,"Whitman, Walt","Boston, MA","Brooklyn, NY",5,42.358761,-71.063832,40.678145,-73.944467,1860-05-24,loc.00574.xml,http://whitman-dev.unl.edu/biography/correspondence/cw/tei/loc.00574.html
"Thayer, William Wilde","Whitman, Walt","Boston, MA","Brooklyn, NY",3,42.358761,-71.063832,40.678145,-73.944467,1860-06-05,loc.00575.xml,http://whitman-dev.unl.edu/biography/correspondence/cw/tei/loc.00575.html
"Whitman, Walt","Clapp, Henry Jr.","Brooklyn, NY","New York, NY",1,40.678145,-73.944467,40.680048,-73.94318,1860-06-12,uva.00343.xml,http://whitman-dev.unl.edu/biography/correspondence/cw/tei/uva.00343.html
Thayer & Eldridge,"Whitman, Walt","Boston, MA","Brooklyn, NY",5,42.358761,-71.063832,40.678145,-73.944467,1860-06-14,loc.00576.xml,http://whitman-dev.unl.edu/biography/correspondence/cw/tei/loc.00576.html
"Redpath, James","Whitman, Walt","Malden, MA","Brooklyn, NY",3,42.425096,-71.066163,40.678145,-73.944467,1860-06-25,loc.01012.xml,http://whitman-dev.unl.edu/biography/correspondence/cw/tei/loc.01012.html
"Smith, Susan Garnet","Whitman, Walt","Hartford, CT","Brooklyn, NY",3,41.763505,-72.684722,40.678145,-73.944467,1860-07-11,med.00332.xml,http://whitman-dev.unl.edu/biography/correspondence/cw/tei/med.00332.html
Thayer & Eldridge,"Whitman, Walt","Boston, MA","Brooklyn, NY",5,42.358761,-71.063832,40.678145,-73.944467,1860-07-27,loc.00577.xml,http://whitman-dev.unl.edu/biography/correspondence/cw/tei/loc.00577.html
"Whitman, Walt",Thayer & Eldridge,"Brooklyn, NY","Boston, MA",1,40.678145,-73.944467,42.358761,-71.063832,1860-08-01,tex.00147.xml,http://whitman-dev.unl.edu/biography/correspondence/cw/tei/tex.00147.html
"Walton, Wilhelmina","Whitman, Walt","Hartford, CT","Brooklyn, NY",3,41.763711,-72.685093,40.678145,-73.944467,1860-08-16,loc.01003.xml,http://whitman-dev.unl.edu/biography/correspondence/cw/tei/loc.01003.html
Thayer & Eldridge,"Whitman, Walt","Boston, MA","Brooklyn, NY",5,42.358761,-71.063832,40.678145,-73.944467,1860-08-17,loc.00578.xml,http://whitman-dev.unl.edu/biography/correspondence/cw/tei/loc.00578.html
Thayer & Eldridge,"Whitman, Walt","Boston, MA","Brooklyn, NY",5,42.358761,-71.063832,40.678145,-73.944467,1860-10-11,loc.00579.xml,http://whitman-dev.unl.edu/biography/correspondence/cw/tei/loc.00579.html
Thayer & Eldridge,"Whitman, Walt","Boston, MA","Brooklyn, NY",5,42.358761,-71.063832,40.678145,-73.944467,1860-10-15,loc.00580.xml,http://whitman-dev.unl.edu/biography/correspondence/cw/tei/loc.00580.html
Thayer & Eldridge [DUPLICATE],"Whitman, Walt","Boston, MA","Brooklyn, NY",5,42.358761,-71.063832,40.678145,-73.944467,1860-10-15,loc.01004.xml,http://whitman-dev.unl.edu/biography/correspondence/cw/tei/loc.01004.html
Thayer & Eldridge,"Whitman, Walt","Boston, MA","Brooklyn, NY",5,42.358761,-71.063832,40.678145,-73.944467,1860-12-01,loc.00581.xml,http://whitman-dev.unl.edu/biography/correspondence/cw/tei/loc.00581.html
Thayer & Eldridge,"Whitman, Walt","Boston, MA","Brooklyn, NY",5,42.358761,-71.063832,40.678145,-73.944467,1860-12-05,loc.00582.xml,http://whitman-dev.unl.edu/biography/correspondence/cw/tei/loc.00582.html
"Jewell, Harvey; Kendall, C.S.","Whitman, Walt","Boston, MA","Brooklyn, NY",5,42.358761,-71.063832,40.678145,-73.944467,1861-02-06,loc.00583.xml,http://whitman-dev.unl.edu/biography/correspondence/cw/tei/loc.00583.html
"Thayer, William Wilde","Whitman, Walt","Boston, MA","Brooklyn, NY",5,42.358761,-71.063832,40.678145,-73.944467,1861-04-19,loc.00584.xml,http://whitman-dev.unl.edu/biography/correspondence/cw/tei/loc.00584.html
"Whitman, Walt","Whitman, George Washington","Brooklyn, NY","Falmouth,VA",1,40.678145,-73.944467,37.113553,-76.486965,1861-07-12,duk.00378.xml,http://whitman-dev.unl.edu/biography/correspondence/cw/tei/duk.00378.html
"Whitman, Walt","Lowell, James Russell","Brooklyn, NY","Boston, MA",1,40.678145,-73.944467,42.358761,-71.063832,1861-10-01,prc.00004.xml,http://whitman-dev.unl.edu/biography/correspondence/cw/tei/prc.00004.html
"Whitman, Walt","Lowell, James Russell","Brooklyn, NY","Boston, MA",1,40.678145,-73.944467,42.358761,-71.063832,1861-10-02,har.00051.xml,http://whitman-dev.unl.edu/biography/correspondence/cw/tei/har.00051.html
Editors of the Atlantic Monthly,"Whitman, Walt","Boston, MA","Brooklyn, NY",5,42.358761,-71.063832,40.678145,-73.944467,1861-10-10,loc.00585.xml,http://whitman-dev.unl.edu/biography/correspondence/cw/tei/loc.00585.html
"Whitman, Walt","Breese, Samuel Livingston","Brooklyn, NY","Brooklyn, NY",1,40.678145,-73.944467,40.678145,-73.944467,1861-11-01,loc.01005.xml,http://whitman-dev.unl.edu/biography/correspondence/cw/tei/loc.01005.html
"Soule, Silas S.","Whitman, Walt","Denver, CO","Brooklyn, NY",4,39.739236,-104.990251,40.678145,-73.944467,1862-01-08,loc.00586.xml,http://whitman-dev.unl.edu/biography/correspondence/cw/tei/loc.00586.html
"Soule, Silas S.","Whitman, Walt","Denver, CO","Brooklyn, NY",4,39.739236,-104.990251,40.678145,-73.944467,1862-03-12,loc.00587.xml,http://whitman-dev.unl.edu/biography/correspondence/cw/tei/loc.00587.html
"Eyre, Ellen","Whitman, Walt","New York, NY","Brooklyn, NY",3,40.680048,-73.94318,40.678145,-73.944467,1862-03-25,loc.00588.xml,http://whitman-dev.unl.edu/biography/correspondence/cw/tei/loc.00588.html
"Vaughan, Fred","Whitman, Walt","New York, NY","Brooklyn, NY",3,42.358761,-71.063832,40.678145,-73.944467,1862-05-02,loc.00589.xml,http://whitman-dev.unl.edu/biography/correspondence/cw/tei/loc.00589.html
"Redpath, James","Whitman, Walt","Boston, MA","Brooklyn, NY",3,42.358761,-71.063832,40.678145,-73.944467,1862-05-26,loc.00859.xml,http://whitman-dev.unl.edu/biography/correspondence/cw/tei/loc.00859.html
"Thayer, William Wilde","Whitman, Walt","Boston, MA","Brooklyn, NY",3,42.358761,-71.063832,40.678145,-73.944467,1862-08-31,loc.00590.xml,http://whitman-dev.unl.edu/biography/correspondence/cw/tei/loc.00590.html
"Whitman, Thomas Jefferson","Whitman, Walt","Brooklyn, NY","Washington, DC",2,40.678145,-73.944467,38.896177,-77.036476,1862-12-19,loc.00394.xml,http://whitman-dev.unl.edu/biography/correspondence/cw/tei/loc.00394.html
"Whitman, Walt","Emerson, Ralph Waldo","Washington, DC","Buffalo, NY",1,38.896177,-77.036476,42.886156,-78.876677,1862-12-29,har.00050.xml,http://whitman-dev.unl.edu/biography/correspondence/cw/tei/har.00050.html
"Whitman, Walt","Whitman, Louisa Van Velsor","Washington, DC","Brooklyn, NY",1,38.896177,-77.036476,40.678145,-73.944467,1862-12-29,loc.00758.xml,http://whitman-dev.unl.edu/biography/correspondence/cw/tei/loc.00758.html
"Whitman, Thomas Jefferson","Whitman, Walt","Brooklyn, NY","Washington, DC",2,40.678145,-73.944467,38.896177,-77.036476,1863-01-01,loc.00395.xml,http://whitman-dev.unl.edu/biography/correspondence/cw/tei/loc.00395.html
"Whitman, Thomas Jefferson","Whitman, Walt","Brooklyn, NY","Washington, DC",2,40.678145,-73.944467,38.896177,-77.036476,1863-01-03,loc.00396.xml,http://whitman-dev.unl.edu/biography/correspondence/cw/tei/loc.00396.html
"Emerson, Ralph Waldo","Whitman, Walt","Buffalo, NY","Washington, DC",3,42.886156,-78.876677,38.896177,-77.036476,1863-01-12,loc.00761.xml,http://whitman-dev.unl.edu/biography/correspondence/cw/tei/loc.00761.html
"Whitman, George Washington","Whitman, Walt","Falmouth,VA","Washington, DC",2,37.113553,-76.486965,38.896177,-77.036476,1863-01-13,duk.00334.xml,http://whitman-dev.unl.edu/biography/correspondence/cw/tei/duk.00334.html
"Wood, George","Whitman, Walt","Washington, DC","Washington, DC",3,38.896177,-77.036476,38.896177,-77.036476,1863-01-15,loc.00878.xml,http://whitman-dev.unl.edu/biography/correspondence/cw/tei/loc.00878.html
"Whitman, Walt","Whitman, Thomas Jefferson","Washington, DC","Brooklyn, NY",1,38.896177,-77.036476,40.678145,-73.944467,1863-01-16,"hyb.00003.xml
",http://whitman-dev.unl.edu/biography/correspondence/cw/tei/hyb.00003.html
"Whitman, Walt","Wood, George","Washington, DC","Washington, DC",1,38.896177,-77.036476,38.896177,-77.036476,1863-01-17,hav.00002.xml,http://whitman-dev.unl.edu/biography/correspondence/cw/tei/hav.00002.html
"Whitman, Walt","Emerson, Ralph Waldo","Washington, DC","Buffalo, NY",1,38.896177,-77.036476,42.886156,-78.876677,1863-01-17,uva.00344.xml,http://whitman-dev.unl.edu/biography/correspondence/cw/tei/uva.00344.html
"Lane, Moses","Whitman, Walt","Brooklyn, NY","Washington, DC",3,40.678145,-73.944467,38.896177,-77.036476,1863-01-26,loc.00883.xml,http://whitman-dev.unl.edu/biography/correspondence/cw/tei/loc.00883.html
"Whitman, George Washington","Whitman, Walt","Falmouth,VA","Washington, DC",2,37.113553,-76.486965,38.896177,-77.036476,1863-02-01,duk.00336.xml,http://whitman-dev.unl.edu/biography/correspondence/cw/tei/duk.00336.html
"Whitman, George Washington","Whitman, Walt","Falmouth,VA","Washington, DC",2,37.113553,-76.486965,38.896177,-77.036476,1863-02-06,duk.00337.xml,http://whitman-dev.unl.edu/biography/correspondence/cw/tei/duk.00337.html
"Whitman, Thomas Jefferson","Whitman, Walt","Brooklyn, NY","Washington, DC",2,40.678145,-73.944467,38.896177,-77.036476,1863-02-06,loc.00397.xml,http://whitman-dev.unl.edu/biography/correspondence/cw/tei/loc.00397.html
"Whitman, Walt","Whitman, Louisa Van Velsor","Washington, DC","Brooklyn, NY",1,38.896177,-77.036476,40.678145,-73.944467,1863-02-06,loc.00762.xml,http://whitman-dev.unl.edu/biography/correspondence/cw/tei/loc.00762.html
"Whitman, Walt","Whitman, Louisa Van Velsor","Washington, DC","Brooklyn, NY",1,38.896177,-77.036476,40.678145,-73.944467,1863-02-09,loc.00763.xml,http://whitman-dev.unl.edu/biography/correspondence/cw/tei/loc.00763.html
"Whitman, Thomas Jefferson","Whitman, Walt","Brooklyn, NY","Washington, DC",2,40.678145,-73.944467,38.896177,-77.036476,1863-02-10,loc.00398.xml,http://whitman-dev.unl.edu/biography/correspondence/cw/tei/loc.00398.html
"Whitman, George Washington","Whitman, Walt","Falmouth,VA","Washington, DC",2,37.113553,-76.486965,38.896177,-77.036476,1863-02-12,duk.00339.xml,http://whitman-dev.unl.edu/biography/correspondence/cw/tei/duk.00339.html
"Whitman, Thomas Jefferson","Whitman, Walt","Brooklyn, NY","Washington, DC",2,40.678145,-73.944467,38.896177,-77.036476,1863-02-12,loc.00399.xml,http://whitman-dev.unl.edu/biography/correspondence/cw/tei/loc.00399.html
"Whitman, Walt","Whitman, Thomas Jefferson","Washington, DC","Brooklyn, NY",1,38.896177,-77.036476,40.678145,-73.944467,1863-02-13,loc.00764.xml,http://whitman-dev.unl.edu/biography/correspondence/cw/tei/loc.00764.html
"Whitman, Walt","Swinton, John","Washington, DC","New York, NY",1,38.896177,-77.036476,40.680048,-73.94318,1863-02-23,bos.00006.xml,http://whitman-dev.unl.edu/biography/correspondence/cw/tei/bos.00006.html
"Whitman, George Washington","Whitman, Walt","Falmouth,VA","Washington, DC",2,37.113553,-76.486965,38.896177,-77.036476,1863-02-25,duk.00341.xml,http://whitman-dev.unl.edu/biography/correspondence/cw/tei/duk.00341.html
"Swinton, John","Whitman, Walt","New York, NY","Washington, DC",5,40.680048,-73.94318,38.896177,-77.036476,1863-02-25,loc.00593.xml,http://whitman-dev.unl.edu/biography/correspondence/cw/tei/loc.00593.html
Harpers Weekly,"Whitman, Walt","New York, NY","Washington, DC",5,40.680048,-73.94318,38.896177,-77.036476,1863-02-26,loc.00856.xml,http://whitman-dev.unl.edu/biography/correspondence/cw/tei/loc.00856.html
"Whitman, Louisa Van Velsor","Whitman, Walt","Brooklyn, NY","Washington, DC",2,40.678145,-73.944467,38.896177,-77.036476,1863-03-01,duk.00425,
"Whitman, Thomas Jefferson","Whitman, Walt","Brooklyn, NY","Washington, DC",2,40.678145,-73.944467,38.896177,-77.036476,1863-03-03,loc.00400.xml,http://whitman-dev.unl.edu/biography/correspondence/cw/tei/loc.00400.html
"Whitman, Walt","Whitman, Thomas Jefferson","Washington, DC","Brooklyn, NY",1,38.896177,-77.036476,40.678145,-73.944467,1863-03-06,wwh.00005.xml,http://whitman-dev.unl.edu/biography/correspondence/cw/tei/wwh.00005.html
"Whitman, Walt","Whitman, Louisa Van Velsor","Washington, DC","Brooklyn, NY",1,38.896177,-77.036476,40.678145,-73.944467,1863-03-08,wwh.00006.xml,http://whitman-dev.unl.edu/biography/correspondence/cw/tei/wwh.00006.html
"Whitman, Thomas Jefferson","Whitman, Walt","Brooklyn, NY","Washington, DC",2,40.678145,-73.944467,38.896177,-77.036476,1863-03-09,loc.00401.xml,http://whitman-dev.unl.edu/biography/correspondence/cw/tei/loc.00401.html
"Redpath, James","Whitman, Walt","Boston, MA","Washington, DC",3,42.358761,-71.063832,38.896177,-77.036476,1863-03-10,loc.01007.xml,http://whitman-dev.unl.edu/biography/correspondence/cw/tei/loc.01007.html
"Boyd, Justus F.","Whitman, Walt","Cohoctah, MI","Washington, DC",4,42.735414,-83.982419,38.896177,-77.036476,1863-03-10,tex.00121.xml,http://whitman-dev.unl.edu/biography/correspondence/cw/tei/tex.00121.html
"Whitman, Thomas Jefferson","Whitman, Walt","Brooklyn, NY","Washington, DC",2,40.678145,-73.944467,38.896177,-77.036476,1863-03-12,loc.00402.xml,http://whitman-dev.unl.edu/biography/correspondence/cw/tei/loc.00402.html
"Whitman, Walt","Whitman, Thomas Jefferson","Washington, DC","Brooklyn, NY",1,38.896177,-77.036476,40.678145,-73.944467,1863-03-18,wwh.00007.xml,http://whitman-dev.unl.edu/biography/correspondence/cw/tei/wwh.00007.html
"Whitman, Thomas Jefferson","Whitman, Walt","Brooklyn, NY","Washington, DC",2,40.678145,-73.944467,38.896177,-77.036476,1863-03-19,duk.00310.xml,http://whitman-dev.unl.edu/biography/correspondence/cw/tei/duk.00310.html
"Whitman, Walt","Bloom, Nathaniel; Gray, John F. S.","Washington, DC","New York, NY",1,38.896177,-77.036476,40.680048,-73.94318,1863-03-19,uva.00345.xml,http://whitman-dev.unl.edu/biography/correspondence/cw/tei/uva.00345.html
"Whitman, Louisa Van Velsor","Whitman, Walt","Brooklyn, NY","Washington, DC",2,40.678145,-73.944467,38.896177,-77.036476,1863-03-19,duk.00426,
"Whitman, Thomas Jefferson","Whitman, Walt","Brooklyn, NY","Washington, DC",2,40.678145,-73.944467,38.896177,-77.036476,1863-03-21,loc.00403.xml,http://whitman-dev.unl.edu/biography/correspondence/cw/tei/loc.00403.html
"Kingsley, Charles S.","Whitman, Walt","New York, NY","Washington, DC",3,40.680048,-73.94318,38.896177,-77.036476,1863-03-21,nyp.00137.xml,http://whitman-dev.unl.edu/biography/correspondence/cw/tei/nyp.00137.html
"Whitman, Walt","Whitman, Louisa Van Velsor","Washington, DC","Brooklyn, NY",1,38.896177,-77.036476,40.678145,-73.944467,1863-03-31,loc.00765.xml,http://whitman-dev.unl.edu/biography/correspondence/cw/tei/loc.00765.html
"Whitman, Thomas Jefferson","Whitman, Walt","Brooklyn, NY","Washington, DC",2,40.678145,-73.944467,38.896177,-77.036476,1863-04-02,loc.00404.xml,http://whitman-dev.unl.edu/biography/correspondence/cw/tei/loc.00404.html
"Whitman, Thomas Jefferson","Whitman, Walt","Brooklyn, NY","Washington, DC",2,40.678145,-73.944467,38.896177,-77.036476,1863-04-03,loc.00405.xml,http://whitman-dev.unl.edu/biography/correspondence/cw/tei/loc.00405.html
"Wallace, Will W.","Whitman, Walt","Nashville, TN","Washington, DC",3,36.162664,-86.781602,38.896177,-77.036476,1863-04-05,loc.00594.xml,http://whitman-dev.unl.edu/biography/correspondence/cw/tei/loc.00594.html
"Whitman, Thomas Jefferson","Whitman, Walt","Brooklyn, NY","Washington, DC",2,40.678145,-73.944467,38.896177,-77.036476,1863-04-06,loc.00406.xml,http://whitman-dev.unl.edu/biography/correspondence/cw/tei/loc.00406.html
"Whitman, Thomas Jefferson","Whitman, Walt","Brooklyn, NY","Washington, DC",2,40.678145,-73.944467,38.896177,-77.036476,1863-04-11,loc.00407.xml,http://whitman-dev.unl.edu/biography/correspondence/cw/tei/loc.00407.html
"Whitman, Thomas Jefferson","Whitman, Walt","Brooklyn, NY","Washington, DC",2,40.678145,-73.944467,38.896177,-77.036476,1863-04-13,loc.00408.xml,http://whitman-dev.unl.edu/biography/correspondence/cw/tei/loc.00408.html
"Whitman, Walt","Whitman, Louisa Van Velsor","Washington, DC","Brooklyn, NY",1,38.896177,-77.036476,40.678145,-73.944467,1863-04-15,loc.00766.xml,http://whitman-dev.unl.edu/biography/correspondence/cw/tei/loc.00766.html
"Whitman, Thomas Jefferson","Whitman, Walt","Brooklyn, NY","Washington, DC",2,40.678145,-73.944467,38.896177,-77.036476,1863-04-20,loc.00409.xml,http://whitman-dev.unl.edu/biography/correspondence/cw/tei/loc.00409.html
"Whitman, Walt","Sawyer, Thomas P.","Washington, DC","New York, NY",1,38.896177,-77.036476,40.680048,-73.94318,1863-04-21,nyp.00180.xml,http://whitman-dev.unl.edu/biography/correspondence/cw/tei/nyp.00180.html
"Whitman, Thomas Jefferson","Whitman, Walt","Brooklyn, NY","Washington, DC",2,40.678145,-73.944467,38.896177,-77.036476,1863-04-25,loc.00410.xml,http://whitman-dev.unl.edu/biography/correspondence/cw/tei/loc.00410.html
"Sawyer, Thomas P.","Whitman, Walt","New York, NY","Washington, DC",4,40.680048,-73.94318,38.896177,-77.036476,1863-04-26,nyp.00138.xml,http://whitman-dev.unl.edu/biography/correspondence/cw/tei/nyp.00138.html
"Whitman, Walt","Sawyer, Thomas P.","Washington, DC","New York, NY",1,38.896177,-77.036476,40.680048,-73.94318,1863-04-26,nyp.00181.xml,http://whitman-dev.unl.edu/biography/correspondence/cw/tei/nyp.00181.html
"Boyd, Justus F.","Whitman, Walt","Cohoctah, MI","Washington, DC",4,42.735414,-83.982419,38.896177,-77.036476,1863-04-27,tex.00122.xml,http://whitman-dev.unl.edu/biography/correspondence/cw/tei/tex.00122.html
"Whitman, Walt","Whitman, Louisa Van Velsor","Washington, DC","Brooklyn, NY",1,38.896177,-77.036476,40.678145,-73.944467,1863-04-28,loc.00767.xml,http://whitman-dev.unl.edu/biography/correspondence/cw/tei/loc.00767.html
"McReady, Fred B.","Whitman, Walt","Winchester, KY","Washington, DC",4,37.990138,-84.179672,38.896177,-77.036476,1863-04-29,nyp.00227.xml,http://whitman-dev.unl.edu/biography/correspondence/cw/tei/nyp.00227.html
